npc_id,stage,hero_cid,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
200001,1,2039,Hera,2039.png,HL0,26,7,5,3,400,123801001|123802001,999999999,10000000,50000,100000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,0,0
200002,2,2039,Supreme Power-Hera,2039_UR.png,HL_UR,26,8,5,3,400,123801001|123802001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,0,0
200003,3,2039,Supreme Queen-Hera,2039_UR_PLUS.png,HL_UR_PLUS,26,9,5,3,400,123801001|123802001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,0,0
200004,4,2039,Sacred Roses-Hera,2039_MR.png,HL_MR,26,15,5,3,400,123801001|123802001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,0,900,0,0,999999,999999,999999,500,0,0,0
200005,1,2047,Cupid,2047.png,QBT0,26,7,5,2,400,124601001|124602001|164651001,999999999,10000000,50000,100000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200006,2,2047,Rose Garden,2047_UR.png,QBT_UR,26,8,5,2,400,124601001|124602001|164651001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200007,3,2047,Bathing Manner-Cupid,2047_UR_PLUS.png,QBT_UR_PLUS,26,9,5,2,400,124601001|124602001|164651001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200008,4,2047,Naughty Moment - Cupid,2047_MR.png,QBT_MR,26,15,5,2,400,124601001|124602001|164651001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,0,900,0,0,999999,999999,999999,150,0,1,0
200009,1,2084,Uriel,2084_UR.png,WLE_UR,26,7,5,1,400,128401001|128402001|158401001|158402001|168451001,999999999,10000000,50000,100000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200010,2,2084,Shadow Fragrance - Uriel,2084_UR_PLUS.png,WLE_UR_PLUS,26,8,5,1,400,128401001|128402001|158401001|158402001|168451001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200011,3,2084,Passionate Night - Uriel,2084_MR.png,WLE_MR,26,9,5,1,400,128401001|128402001|158401001|158402001|168451001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200012,4,2084,Passionate Night - Uriel,2084_MR.png,WLE_MR,26,15,5,1,400,128401001|128402001|158401001|158402001|168451001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,100,900,0,0,999999,999999,999999,150,0,1,0
200013,1,2049,Icarus,2049.png,YKLS0,26,7,5,2,400,124801001|124802001|154801001|154802001|164851001,999999999,10000000,50000,100000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200014,2,2049,Newborn Luster,2049_UR.png,YKLS_UR,26,8,5,2,400,124801001|124802001|154801001|154802001|164851001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200015,3,2049,无暇羽翼-伊卡璐斯,2049_UR_PLUS.png,YKLS_UR_PLUS,26,9,5,2,400,124801001|124802001|154801001|154802001|164851001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,150,0,0,0
200016,4,2049,Charm of Daisy - Icarus,2049_MR.png,YKLS_MR,26,15,5,2,400,124801001|124802001|154801001|154802001|164851001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,100,900,0,0,999999,999999,999999,150,0,1,0
