story_id,charpt_id,is_first,next_story_id,title,desc,node_id_list,doing_des,unlock_desc,dialog_id
101,1,1,102,Hera's Revival PathⅠ,"Hera dreamed of a vision, and Loki appeared, offering assistance.",30,Defeat Loki,Unlocked after completing Hera’s  Revival Path I,60100001
102,1,0,103,Hera's Revival PathⅡ,"Hera moved forward and encountered Apollo, who had been blocking her way all along.",66,Defeat Apollo,Unlocked after completing Hera’s  Revival Path II,60100008
103,1,0,104,Hera's Revival PathⅢ,"After getting rid of Apollo, Hades followed closely behind.",72,Defeat Hades,Unlocked after completing Hera’s Revival Path III,60100016
104,1,0,105,Hera's Revival PathⅣ,"Hera and Loki arrived at a new location, where they found Cupid waiting for them.",126,Defeat Cupid,Unlocked after completing Hera’s Revival Path IV,60100024
105,1,0,106,Hera's Revival PathⅤ,"Hera discovered that Icarus had also arrived, intending to seize a treasure, leading to a competition between them.",143,Defeat Icarus,Unlocked after completing Hera’s  Revival Path V,60100031
106,1,0,-1,Hera's Revival PathⅥ,Loki finally revealed her true intentions; she wanted to take Hera's blood to unlock the Seventh Divine Realm.,206,Defeat Thor,Unlocked after completing Hera’s Revival Path VI,60100040
201,2,1,202,Cupid’s Revival PathⅠ,"Cupid finds herself transported to another realm, where she encounters Icarus, who has come to stir up trouble.",235,Defeat Icarus,Unlocked after completing Cupid’s Revival Path I,60200001
202,2,0,203,Cupid‘s Revival PathⅡ,"Cupid grumbles about Icarus backing out at the last moment. At this point, Gemini appears, stating that they too want to contest Cupid for power.",296,Defeat Gemini,Unlocked after completing Cupid’s Revival Path II,60200008
203,2,0,204,Cupid’s Revival PathⅢ,"Prometheus arrives, declaring that he has come to test Cupid, who gladly accepts the trial.",402,Defeat Prometheus,Unlocked after completing Cupid’s Revival Path III,60200017
204,2,0,205,Cupid‘s Revival PathⅣ,"Chaos makes a dramatic entrance, mocking Cupid with snarky remarks, but ultimately gets defeated by Cupid.",355,Defeat Chaos,Unlocked after completing Cupid’s Revival Path IV,60200025
205,2,0,206,Cupid’s Revival PathⅤ,"Cupid then encounters the lost Michael, who offers to help Cupid test his strength.",301,Defeat Michael,Unlocked after completing Cupid’s Revival Path V,60200031
206,2,0,-1,Cupid‘s Revival PathⅥ,"Cupid meets his ultimate rival, Apollo, who, as usual, challenges Cupid to a contest of archery.",221,Defeat Apollo,Unlocked after completing Cupid’s Revival Path VI,60200040
301,3,1,302,Ra's Revival PathⅠ,"Ra arrived at the Genesis Sanctuary through meditation but encountered her rival, Chaos, causing trouble.",575,Defeat Apollo,-1,60300001
302,3,0,303,Ra's Revival PathⅡ,"Chaos transformed into the form of Venus, trying to force Ra to soften her heart, but Ra saw through her deception and defeated her.",531,Defeat Venus,Unlocked after completing Ra's Revival Path I,60300011
303,3,0,304,Ra's Revival PathⅢ,"Ra met Prometheus, who guarded the entrance, and he stated that he would test her. Ra gladly accepted.",544,Defeat Prometheus,Unlocked after completing Ra's Revival Path II,60300022
304,3,0,305,Ra's Revival PathⅣ,"Chaos began causing trouble again, transforming into Horus to disrupt Ra’s will, but Ra ultimately defeated her.",510,Defeat Horus,Unlocked after completing Ra's Revival Path III,60300032
305,3,0,306,Ra's Revival PathⅤ,"Amaterasu appeared, stating her intention to compete with Ra for the path guided by the sun, leading both to decide to settle it with a battle.",506,Defeat Amaterasu,Unlocked after completing Ra's Revival Path IV,60300042
306,3,0,-1,Ra's Revival PathⅥ,"Finally, Chaos decided to face Ra in a final showdown, but Ra emerged victorious in the end.",498,Defeat Chaos,Unlocked after completing Ra's Revival Path V,60300052
401,4,1,402,Chaos's Revival PathⅠ,"Chaos finally obtained the key to open the gates of the Seventh Divine Realm, but what awaited her was…",654,Defeat Ares,-1,60400001
402,4,0,403,Chaos's Revival PathⅡ,"At the far end of the snowy plains, Chaos encountered Cupid, bow in hand, ready to challenge her.",669,Defeat Cupid,Unlocked after completing Chaos's Revival Path I,60400011
403,4,0,404,Chaos's Revival PathⅢ,"Unwittingly, Chaos had stepped into the garden of Hera, the Queen of the Gods…",751,Defeat Hera,Unlocked after completing Chaos's Revival Path II,60400020
404,4,0,405,Chaos's Revival PathⅣ,"Beyond the garden, Chaos confronted the current King of the Gods, but Zeus seemed intent on complicating her path.",821,Defeat Zeus,Unlocked after completing Chaos's Revival Path III,60400027
405,4,0,406,Chaos's Revival PathⅤ,"Drawing closer to the Creator’s altar, Chaos found her path blocked by Apollo, the Guardian of Order.",789,Defeat Apollo,Unlocked after completing Chaos's Revival Path IV,60400038
406,4,0,-1,Chaos's Revival PathⅥ,在路的尽头，雅典娜正在思考如何启动创世者的祭坛…… ,717,Defeat Athena,Unlocked after completing Chaos's Revival Path V,60400048
501,5,1,502,Icarus's Revival PathⅠ,"Icarus unlocked the gates to the Seventh Divine Realm, only to find Athena standing in her way…",965,Defeat Athena,-1,60500001
502,5,0,503,Icarus's Revival PathⅡ,"On the path to the Creator’s Altar, Icarus crossed paths with the ancient figure who once stole fire for humanity…",1003,Defeat Prometheus,Unlocked after completing Icarus's Revival Path I,60500014
503,5,0,504,Icarus's Revival PathⅢ,"Further along, he encountered Freyja, the Norse goddess who once glimpsed the truth…",950,Defeat Freyja,Unlocked after completing Icarus's Revival Path II,60500025
504,5,0,505,Icarus's Revival PathⅣ,"Leaving the snowfields behind, Icarus would soon face the incarnations of three Suns…",898,Defeat Ra,Unlocked after completing Icarus's Revival Path III,60500034
505,5,0,506,Icarus's Revival PathⅤ,"After passing Ra’s trials, Icarus encountered the second Sun incarnation…",840,Defeat Amaterasu,Unlocked after completing Icarus's Revival Path IV,60500041
506,5,0,-1,Icarus's Revival PathⅥ,"At the Creator’s Altar, Icarus met the final Sun incarnation—Apollo.",862,Defeat Apollo,Unlocked after completing Icarus's Revival Path V,60500048
601,6,1,602,Himiko's Revival Path I,"The ancient temple’s gates creaked open, revealing the path to the Seventh Divine Realm. Himiko stepped inside and was met with a familiar face—Kaguya.",1043,Defeat Kaguya,-1,60600001
602,6,0,603,Himiko's Revival Path II,"Where is this place? Something felt amiss, as if a piece of her memory was missing. Cold. That was the only sensation. Ahead, a flicker of fire. Someone was there.",1147,Defeat Ember Dragon,Unlocks after completing Himiko’s Revival Path I,60600009
603,6,0,604,Himiko's Revival Path III,Himiko found herself in a land where spring reigned eternal. A mischievous grin greeted her—Nekomata blocked her path with playful mockery: “Grateful for your special invitation.”,1233,Defeat Nekomata,Unlocks after completing Himiko’s Revival Path II,60600017
604,6,0,605,Himiko's Revival Path IV,"Deeper into the temple, Himiko advanced toward a radiant glow. Suddenly, Ra emerged, his towering presence radiating unyielding power, his piercing gaze fixed upon her.",1077,Defeat Ra,Unlocks after completing Himiko’s Revival Path III,60600025
605,6,0,606,Himiko's Revival Path V,"Overcoming countless trials, she finally approached the altar. The Creator’s light, enveloping the chamber, seemed almost within reach. Yet, just as Himiko took that final step, a figure appeared silently before her.",1088,Defeat Heimdall,Unlocks after completing Himiko’s Revival Path IV,60600033
