chapter_id,chapter_name,banner_path,dialog
1,Hera's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
2,Cupid‘s Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
3,Ra's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
4,Chaos's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
5,Icarus's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
6,Himiko's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
7,Raphael's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
8,Heimdall’s Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
9,Thor's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
10,Sim Cheong's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
11,Apollo's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
12,Lilith the Night Walker's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
13,Frost Dragon's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
14,Hela's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
15,Enmusubi's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
16,Lucifer the Fallen Angel's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
17,乌拉尔的创世圣境,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
18,Freyja's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
19,Frigga's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
20,Jeanne d'Arc the Sworn Warrior's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
21,Gemini's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
22,Loki's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
23,Poseidon the Sea Sovereign's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
24,Horus's Revival Path,img_zhangjie_grass.png,"The Creator God is hidden, and the Chaos Demon quietly descends. The awakened goddesses must gain the approval of the world’s will to merge their powers with that of the Creator God."
