index,option_id,chapter,option_index,dialog_id,character_name,dialog,bg,character_spine,content,pos_x,pos_y,scale,condition_type,condition_param,result_type,result_param
1,1,1,0,60100001,Loki,Loki wants to join your team,,LJ_MR,,0,60,1.5,0,0,9,0
2,1,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2076
3,1,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2076
4,2,1,0,60100001,Apollo,Apollo wants to join your team,,ABL_MR,,30,300,1,0,0,9,0
5,2,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
6,2,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2078
7,3,1,0,60100001,Cupid,Cupid wants to join your team,,QBT_MR,,-20,100,1.2,0,0,9,0
8,3,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
9,3,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2047
10,4,1,0,60100001,Icarus,Icarus wants to join your team,,YKLS_MR,,20,150,1.2,0,0,9,0
11,4,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
12,4,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
13,5,1,0,60100001,Thor,Thor wants to join your team,,SE_UR_PLUS,,-40,120,1.2,0,0,9,0
14,5,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2077
15,5,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2077
16,6,1,0,60100001,Frost Dragon,Frost Dragon wants to join your team,,LB_MR,,45,-120,1.5,0,0,9,0
17,6,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2055
18,6,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2055
19,7,1,0,60100001,Ember Dragon,Ember Dragon wants to join your team,,LH_MR,,-20,150,1.3,0,0,9,0
20,7,1,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2056
21,7,1,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2056
22,8,2,0,60100001,Icarus,Icarus wants to join your team,,YKLS_MR,,20,150,1.2,0,0,9,
23,8,2,1,0,,,,,Alright  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
24,8,2,2,0,,,,,Of course  (Stamina <color=#95FF95>-1</color>),0,0,1,0,0,5,2049
