id,chapter_id,group_index,play_type,weight,fight_value,enemy_id_group,enemy_show_id,desc
1,1,101001,1,100,2642223616,10101,10101,Creatures born from unknown chaotic energy.
2,1,101002,1,100,2906445978,10201,10201,Creatures born from unknown chaotic energy.
3,1,101003,1,100,6737670221,10301|10302|10303|10304|10305|10306,10301,Creatures born from unknown chaotic energy.
4,1,101004,2,100,4756002509,10401,10401,Creatures born from unknown chaotic energy.
5,1,101005,1,100,3963335424,10501,10501,Creatures born from unknown chaotic energy.
6,1,101006,1,100,4227557786,10601,10601,Creatures born from unknown chaotic energy.
7,1,101007,1,100,9908338560,10701|10702|10703|10704|10705|10706,10701,Creatures born from unknown chaotic energy.
8,1,101008,2,100,6077114317,10801,10801,Creatures born from unknown chaotic energy.
9,1,101009,1,100,5284447232,10901,10901,Creatures born from unknown chaotic energy.
10,1,101010,1,100,5548669594,11001,11001,Creatures born from unknown chaotic energy.
11,1,101011,1,100,14664341069,11101|11102|11103|11104|11105|11106,11101,Creatures born from unknown chaotic energy.
12,1,101012,2,100,7398226125,11201,11201,Creatures born from unknown chaotic energy.
13,1,101013,1,100,6605559040,11301,11301,Creatures born from unknown chaotic energy.
14,1,101014,1,100,6869781402,11401,11401,Creatures born from unknown chaotic energy.
15,1,101015,1,100,17835009408,11501|11502|11503|11504|11505|11506,11501,Creatures born from unknown chaotic energy.
16,1,101016,2,100,8719337933,11601,11601,Creatures born from unknown chaotic energy.
17,1,101017,1,100,7926670848,11701,11701,Creatures born from unknown chaotic energy.
18,1,101018,1,100,8190893210,11801,11801,Creatures born from unknown chaotic energy.
19,1,101019,1,100,21005677747,11901|11902|11903|11904|11905|11906,11901,Creatures born from unknown chaotic energy.
20,1,101020,2,100,10040449741,12001,12001,Creatures born from unknown chaotic energy.
21,1,101021,1,100,9247782656,12101,12101,Creatures born from unknown chaotic energy.
22,1,101022,1,100,9512005018,12201,12201,Creatures born from unknown chaotic energy.
23,1,101023,1,100,24176346086,12301|12302|12303|12304|12305|12306,12301,Creatures born from unknown chaotic energy.
24,1,101024,2,100,11361561549,12401,12401,Creatures born from unknown chaotic energy.
25,1,101025,1,100,10568894464,12501,12501,Creatures born from unknown chaotic energy.
26,1,101026,1,100,10833116826,12601,12601,Creatures born from unknown chaotic energy.
27,1,101027,1,100,11097339187,12701,12701,Creatures born from unknown chaotic energy.
28,1,101028,1,100,11361561549,12801,12801,Creatures born from unknown chaotic energy.
29,1,101029,1,100,11625783910,12901,12901,Creatures born from unknown chaotic energy.
30,1,101030,1,100,11890006272,13001,13001,Creatures born from unknown chaotic energy.
31,1,101031,1,100,12154228634,13101,13101,Creatures born from unknown chaotic energy.
32,1,101032,1,100,12418450995,13201,13201,Creatures born from unknown chaotic energy.
33,1,101033,1,100,12682673357,13301,13301,Creatures born from unknown chaotic energy.
34,1,101034,1,100,12946895718,13401,13401,Creatures born from unknown chaotic energy.
35,1,101035,2,100,15457008154,13501|13502|13503|13504|13505|13506,13501,Creatures born from unknown chaotic energy.
36,1,101036,2,100,17042342323,13601|13602|13603|13604|13605|13606,13601,Creatures born from unknown chaotic energy.
37,1,101037,2,100,18627676493,13701|13702|13703|13704|13705|13706,13701,Creatures born from unknown chaotic energy.
38,1,101038,2,100,20213010662,13801|13802|13803|13804|13805|13806,13801,Creatures born from unknown chaotic energy.
39,2,102001,1,100,2642223616,20101,20101,Creatures born from unknown chaotic energy.
40,2,102002,1,100,2906445978,20201,20201,Creatures born from unknown chaotic energy.
41,2,102003,1,100,6737670221,20301|20302|20303|20304|20305|20306,20301,Creatures born from unknown chaotic energy.
42,2,102004,2,100,4756002509,20401,20401,Creatures born from unknown chaotic energy.
43,2,102005,1,100,3963335424,20501,20501,Creatures born from unknown chaotic energy.
44,2,102006,1,100,4227557786,20601,20601,Creatures born from unknown chaotic energy.
45,2,102007,1,100,9908338560,20701|20702|20703|20704|20705|20706,20701,Creatures born from unknown chaotic energy.
46,2,102008,2,100,6077114317,20801,20801,Creatures born from unknown chaotic energy.
47,2,102009,1,100,5284447232,20901,20901,Creatures born from unknown chaotic energy.
48,2,102010,1,100,5548669594,21001,21001,Creatures born from unknown chaotic energy.
49,2,102011,1,100,14664341069,21101|21102|21103|21104|21105|21106,21101,Creatures born from unknown chaotic energy.
50,2,102012,2,100,7398226125,21201,21201,Creatures born from unknown chaotic energy.
51,2,102013,1,100,6605559040,21301,21301,Creatures born from unknown chaotic energy.
52,2,102014,1,100,6869781402,21401,21401,Creatures born from unknown chaotic energy.
53,2,102015,1,100,17835009408,21501|21502|21503|21504|21505|21506,21501,Creatures born from unknown chaotic energy.
54,2,102016,2,100,8719337933,21601,21601,Creatures born from unknown chaotic energy.
55,2,102017,1,100,7926670848,21701,21701,Creatures born from unknown chaotic energy.
56,2,102018,1,100,8190893210,21801,21801,Creatures born from unknown chaotic energy.
57,2,102019,1,100,21005677747,21901|21902|21903|21904|21905|21906,21901,Creatures born from unknown chaotic energy.
58,2,102020,2,100,10040449741,22001,22001,Creatures born from unknown chaotic energy.
59,2,102021,1,100,9247782656,22101,22101,Creatures born from unknown chaotic energy.
60,2,102022,1,100,9512005018,22201,22201,Creatures born from unknown chaotic energy.
61,2,102023,1,100,24176346086,22301|22302|22303|22304|22305|22306,22301,Creatures born from unknown chaotic energy.
62,2,102024,2,100,11361561549,22401,22401,Creatures born from unknown chaotic energy.
63,2,102025,1,100,10568894464,22501,22501,Creatures born from unknown chaotic energy.
64,2,102026,1,100,10833116826,22601,22601,Creatures born from unknown chaotic energy.
65,2,102027,1,100,11097339187,22701,22701,Creatures born from unknown chaotic energy.
66,2,102028,1,100,11361561549,22801,22801,Creatures born from unknown chaotic energy.
67,2,102029,1,100,11625783910,22901,22901,Creatures born from unknown chaotic energy.
68,2,102030,1,100,11890006272,23001,23001,Creatures born from unknown chaotic energy.
69,2,102031,1,100,12154228634,23101,23101,Creatures born from unknown chaotic energy.
70,2,102032,1,100,12418450995,23201,23201,Creatures born from unknown chaotic energy.
71,2,102033,1,100,12682673357,23301,23301,Creatures born from unknown chaotic energy.
72,2,102034,1,100,12946895718,23401,23401,Creatures born from unknown chaotic energy.
73,2,102035,2,100,15457008154,23501|23502|23503|23504|23505|23506,23501,Creatures born from unknown chaotic energy.
74,2,102036,2,100,17042342323,23601|23602|23603|23604|23605|23606,23601,Creatures born from unknown chaotic energy.
75,2,102037,2,100,18627676493,23701|23702|23703|23704|23705|23706,23701,Creatures born from unknown chaotic energy.
76,2,102038,2,100,20213010662,23801|23802|23803|23804|23805|23806,23801,Creatures born from unknown chaotic energy.
77,3,103001,1,100,2642223616,30101,30101,Creatures born from unknown chaotic energy.
78,3,103002,1,100,2906445978,30201,30201,Creatures born from unknown chaotic energy.
79,3,103003,1,100,6737670221,30301|30302|30303|30304|30305|30306,30301,Creatures born from unknown chaotic energy.
80,3,103004,2,100,4756002509,30401,30401,Creatures born from unknown chaotic energy.
81,3,103005,1,100,3963335424,30501,30501,Creatures born from unknown chaotic energy.
82,3,103006,1,100,4227557786,30601,30601,Creatures born from unknown chaotic energy.
83,3,103007,1,100,9908338560,30701|30702|30703|30704|30705|30706,30701,Creatures born from unknown chaotic energy.
84,3,103008,2,100,6077114317,30801,30801,Creatures born from unknown chaotic energy.
85,3,103009,1,100,5284447232,30901,30901,Creatures born from unknown chaotic energy.
86,3,103010,1,100,5548669594,31001,31001,Creatures born from unknown chaotic energy.
87,3,103011,1,100,14664341069,31101|31102|31103|31104|31105|31106,31101,Creatures born from unknown chaotic energy.
88,3,103012,2,100,7398226125,31201,31201,Creatures born from unknown chaotic energy.
89,3,103013,1,100,6605559040,31301,31301,Creatures born from unknown chaotic energy.
90,3,103014,1,100,6869781402,31401,31401,Creatures born from unknown chaotic energy.
