task_id,chapter_id,map_name,task_type,task_value,jindu_value,reward
101,1,C1-M1-G1,1,37,20,1:2:100
102,1,C1-M1-G1,3,6,20,1:2:100
103,1,C1-M1-G1,4,6,20,1:2:100
104,1,C1-M1-G1,5,7,20,1:2:100
105,1,C1-M1-G1,6,8,20,1:2:100
201,2,C2-M1-G1,1,38,20,1:2:100
202,2,C2-M1-G1,3,6,20,1:2:100
203,2,C2-M1-G1,4,6,20,1:2:100
204,2,C2-M1-G1,5,7,20,1:2:100
205,2,C2-M1-G1,6,8,20,1:2:100
301,3,C3-M1-G1,1,37,20,1:2:100
302,3,C3-M1-G1,3,6,20,1:2:100
303,3,C3-M1-G1,4,6,20,1:2:100
304,3,C3-M1-G1,5,7,20,1:2:100
305,3,C3-M1-G1,6,8,20,1:2:100
401,4,C4-M1-G1,1,36,20,1:2:100
402,4,C4-M1-G1,3,6,20,1:2:100
403,4,C4-M1-G1,4,6,20,1:2:100
404,4,C4-M1-G1,5,7,20,1:2:100
405,4,C4-M1-G1,6,8,20,1:2:100
501,5,C5-M1-G1,1,36,20,1:2:100
502,5,C5-M1-G1,3,6,20,1:2:100
503,5,C5-M1-G1,4,6,20,1:2:100
504,5,C5-M1-G1,5,7,20,1:2:100
505,5,C5-M1-G1,6,8,20,1:2:100
601,6,C6-M1-G1,1,37,20,1:2:100
602,6,C6-M1-G1,3,6,20,1:2:100
603,6,C6-M1-G1,4,6,20,1:2:100
604,6,C6-M1-G1,5,7,20,1:2:100
605,6,C6-M1-G1,6,8,20,1:2:100
701,7,C7-M1-G1,1,35,20,1:2:100
702,7,C7-M1-G1,3,6,20,1:2:100
703,7,C7-M1-G1,4,6,20,1:2:100
704,7,C7-M1-G1,5,7,20,1:2:100
705,7,C7-M1-G1,6,8,20,1:2:100
801,8,C8-M1-G1,1,37,20,1:2:100
802,8,C8-M1-G1,3,6,20,1:2:100
803,8,C8-M1-G1,4,6,20,1:2:100
804,8,C8-M1-G1,5,7,20,1:2:100
805,8,C8-M1-G1,6,8,20,1:2:100
901,9,C9-M1-G1,1,38,20,1:2:100
902,9,C9-M1-G1,3,6,20,1:2:100
903,9,C9-M1-G1,4,6,20,1:2:100
904,9,C9-M1-G1,5,7,20,1:2:100
905,9,C9-M1-G1,6,8,20,1:2:100
1001,10,C10-M1-G1,1,36,20,1:2:100
1002,10,C10-M1-G1,3,6,20,1:2:100
1003,10,C10-M1-G1,4,6,20,1:2:100
1004,10,C10-M1-G1,5,7,20,1:2:100
1005,10,C10-M1-G1,6,8,20,1:2:100
1101,11,C11-M1-G1,1,37,20,1:2:100
1102,11,C11-M1-G1,3,6,20,1:2:100
1103,11,C11-M1-G1,4,6,20,1:2:100
1104,11,C11-M1-G1,5,7,20,1:2:100
1105,11,C11-M1-G1,6,8,20,1:2:100
1201,12,C12-M1-G1,1,36,20,1:2:100
1202,12,C12-M1-G1,3,6,20,1:2:100
1203,12,C12-M1-G1,4,6,20,1:2:100
1204,12,C12-M1-G1,5,7,20,1:2:100
1205,12,C12-M1-G1,6,8,20,1:2:100
1301,13,C13-M1-G1,1,35,20,1:2:100
1302,13,C13-M1-G1,3,6,20,1:2:100
1303,13,C13-M1-G1,4,6,20,1:2:100
1304,13,C13-M1-G1,5,7,20,1:2:100
1305,13,C13-M1-G1,6,8,20,1:2:100
1401,14,C14-M1-G1,1,36,20,1:2:100
1403,14,C14-M1-G1,3,6,20,1:2:100
1405,14,C14-M1-G1,4,6,20,1:2:100
1407,14,C14-M1-G1,5,7,20,1:2:100
1409,14,C14-M1-G1,6,8,20,1:2:100
1501,15,C15-M1-G1,1,38,20,1:2:100
1503,15,C15-M1-G1,3,6,20,1:2:100
1505,15,C15-M1-G1,4,6,20,1:2:100
1507,15,C15-M1-G1,5,7,20,1:2:100
1509,15,C15-M1-G1,6,8,20,1:2:100
1601,16,C15-M1-G1,1,37,20,1:2:100
1603,16,C15-M1-G1,3,6,20,1:2:100
1605,16,C15-M1-G1,4,6,20,1:2:100
1607,16,C15-M1-G1,5,7,20,1:2:100
1609,16,C15-M1-G1,6,8,20,1:2:100
