id,group,difficulty,boss_name,kill_reward,avatar_path,spine_name,image_id,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
1,1,1,混沌之主,5:3000108:1|5:3000104:1|1:2:100,NPC44.png,NPC44,6,22,6,5,1,100,111801001|111802001,611881,4560000,448000,480000,16355,36480,12160,12160,2399999,96,16000,800,0,10,0,0,50,1000,1000,3000,0,0,0
2,1,2,混沌之主,5:3000127:1|5:3000048:5|5:3000107:1,NPC44.png,NPC44,6,22,7,5,1,100,111801001|111802001,1079159,8550000,840000,900000,30666,68400,22800,22800,4499999,180,30000,1500,0,10,0,0,70,1200,1200,3000,0,0,0
3,2,1,业火妖姬,5:3000108:1|5:3000104:1|1:2:100,NPC30.png,NPC30,8,22,6,5,2,105,112602001|100204001,2964204,6156000,537600,576000,17010,47789,15808,15808,2399999,100,18400,920,0,20,0,0,90,1200,1200,3000,0,0,0
4,2,2,业火妖姬,5:3000127:1|5:3000049:5|5:3000107:1,NPC30.png,NPC30,8,22,7,5,2,105,112602001|100204001,12051710,11542500,1008000,1080000,31893,89604,29640,29640,4499999,188,34500,1725,0,20,0,0,110,1440,1440,3000,0,0,0
5,3,1,堕落天使,5:3000108:1|5:3000104:1|1:2:100,NPC53.png,NPC53,1,22,6,5,3,110,100304001|110401001,22486975,8310600,645120,691200,17690,62603,20550,20550,2399999,104,21160,1058,0,30,0,0,130,1300,1300,3000,0,0,0
6,3,2,堕落天使,5:3000127:1|5:2000006:1|5:3000107:1,NPC53.png,NPC53,1,22,7,5,3,110,100304001|110401001,307584695,15582375,1209600,1296000,33168,117381,38532,38532,4499999,195,39675,1985,0,30,0,0,150,1560,1560,3000,0,0,0
7,4,1,虚空死灵,5:3000108:1|5:3000104:1|1:2:100,NPC40.png,NPC40,4,22,6,5,1,115,100204001|112602001,506305800,11219310,774144,829440,18398,82010,26715,26715,2399999,108,24334,1217,0,40,0,0,170,1500,1500,3000,0,0,0
8,4,2,虚空死灵,5:3000127:1|1:2:500|5:3000107:1,NPC40.png,NPC40,4,22,7,5,1,115,100204001|112602001,633144600,21036207,1451520,1555200,34496,153770,50091,50091,4499999,203,45627,2282,0,40,0,0,190,1800,1800,3000,0,0,0
9,5,1,堕落蛇灵,5:3000108:1|5:3000104:1|1:2:100,NPC36.png,NPC36,2,22,6,5,2,120,113102001|112401001,905997312,15146069,928973,995328,19134,107434,34730,34730,2399999,112,27984,1399,0,50,0,0,210,1700,1700,3000,0,0,0
10,5,2,堕落蛇灵,5:3000127:1|5:3000188:20|5:3000107:1,NPC36.png,NPC36,2,22,7,5,2,120,113102001|112401001,1082344032,28398879,1741824,1866240,35876,201438,65120,65120,4499999,210,52470,2624,0,50,0,0,230,2040,2040,3000,0,0,0
