id,ruchang_anim,ruchang_effect,anim_time
102039300,HLjt,HLruchang_Effect,11.3
102047301,QBTruchang,QBTruchang_Effect,8.65
102050300,KESruchang,KESTruchang_Effect,9.7
102037300,LAruchng,LAruchang_Effect,10.5
102049300,YKLSruchang,YKLSruchang_Effect,10.5
102053300,BMHruchang,BMHTruchang_Effect,10.5
102051300,HMDEruchang,HMDEruchang_Effect,12.0
102057300,LLruchang,LLruchang_Effect,10.0
102056300,LHruchang,LHruchang_Effect,11.2
101003888,USERruchang,USERruchang_Effect,11.6
102055300,LBruchang,LBruchang_Effect,11.6
102081300,HLSruchang,HLSruchang_Effect,10.2
102063300,SQEruchang,SQEruchang_Effect,9.4
102067300,CEruchang,CEruchang_Effect,10.0
102065300,YWJruchang,YWJruchang_Effect,12.5
102060300,FLYruchang,FLYruchang_Effect,10.5
102082300,FLJruchang,FLJruchang_Effect,10.8
102069300,YDNruchang,YDNruchang_Effect,10.0
102068300,AXLruchang,AXLruchang_Effect,10.0
102071300,MJZruchang,MJZruchang_Effect,10.9
102075300,ZSruchang,ZSruchang_Effect,10.5
102073300,SYZruchang,SYZruchang_Effect,10.8
102074300,WNSruchang,WNSruchang_Effect,10.6
102083300,ARSruchang,ARSruchang_Effect,10.6
102054300,ZRNZruchang,ZRNZruchang_Effect,10.3
102077300,SEruchang,SEruchang_Effect,10.6
102076300,LJruchang,LJruchang_Effect,10.0
102078300,ABLruchang,ABLruchang_Effect,11.1
