npc_id,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
3001,Centaur Raider,NPC21.png,NPC21,3,1,0,3,40,100301001,18162,12000,2000,2000,300,300,2000,2000,1400,500,2600,1800,0,0,0,0,0,0,0,0,0,0,0
3002,Hydra,NPC45.png,NPC45,3,1,0,2,40,100201001,19086,12800,2100,2100,315,315,2100,2100,1450,525,2750,1900,0,0,0,0,0,0,0,0,0,0,0
3003,Corrupted Griffin,NPC34.png,NPC34,3,1,0,1,41,100101001,20010,13600,2200,2200,330,330,2200,2200,1500,550,2900,2000,0,0,0,0,0,0,0,0,0,0,0
3004,Ghoul,NPC40.png,NPC40,3,1,0,3,41,100305001,20997,14400,2300,2300,345,345,2300,2300,1550,575,3050,2100,0,0,0,0,0,0,0,0,0,0,0
3005,Griffin,NPC24.png,NPC24,3,1,0,2,42,100202001,21924,15200,2400,2400,360,360,2400,2400,1600,600,3200,2200,0,0,0,0,0,0,0,0,0,0,0
3006,Harpy,NPC23.png,NPC23,3,1,0,1,42,100102001,22852,16000,2500,2500,375,375,2500,2500,1650,625,3350,2300,0,0,0,0,0,0,0,0,0,0,0
3007,Orc of Milo,NPC24.png,NPC24,3,1,0,3,43,100304001,23850,16800,2600,2600,390,390,2600,2600,1700,650,3500,2400,0,0,0,0,0,0,0,0,0,0,0
3008,Plague Chanter,NPC25.png,NPC25,3,1,0,2,43,100205001,24780,17600,2700,2700,405,405,2700,2700,1750,675,3650,2500,0,0,0,0,0,0,0,0,0,0,0
3009,Fallen Priest,NPC26.png,NPC26,3,1,0,1,44,100207001,25710,18400,2800,2800,420,420,2800,2800,1800,700,3800,2600,0,0,0,0,0,0,0,0,0,0,0
3010,Man-faced Spider,NPC27.png,NPC27,3,2,1,3,44,100302001,26718,19200,2900,2900,435,435,2900,2900,1850,725,3950,2700,0,0,0,0,0,0,0,0,0,0,0
