id,map_type,pre_map_type,index,pre_index,star_type,is_permill,add_attr,is_pvp,cost_goods_one,cost_goods_two,name,icon
1,1,0,1,0,1,0,2:3:1000,0,20,0,Source of Birth,img_XT_xingtu1
2,1,0,2,1,1,0,2:1:20000,0,20,0,Source of Birth,img_XT_xingtu1
3,1,0,3,2,1,0,2:17:1500,0,30,0,Source of Birth,img_XT_xingtu1
4,1,0,4,2,1,0,2:3:1250,0,25,0,Source of Birth,img_XT_xingtu1
5,1,0,5,4,1,0,2:1:25000,0,25,0,Source of Birth,img_XT_xingtu1
6,1,0,6,5,1,0,2:5:1500,0,30,0,Source of Birth,img_XT_xingtu1
7,1,0,7,2,1,0,2:7:1000,0,20,0,Source of Birth,img_XT_xingtu1
8,1,0,8,7,1,0,2:7:1250,0,25,0,Source of Birth,img_XT_xingtu1
9,1,0,9,8,1,0,2:6:1500,0,30,0,Source of Birth,img_XT_xingtu1
10,1,0,10,0,1,0,2:6:1000,0,20,0,Source of Birth,img_XT_xingtu1
11,1,0,11,10,1,0,2:6:1250,0,25,0,Source of Birth,img_XT_xingtu1
12,1,0,12,11,1,0,2:7:1500,0,30,0,Source of Birth,img_XT_xingtu1
13,1,0,13,0,1,0,2:5:1000,0,20,0,Source of Birth,img_XT_xingtu1
14,1,0,14,13,1,0,2:5:1250,0,25,0,Source of Birth,img_XT_xingtu1
15,1,0,15,14,1,0,2:1:30000,0,30,0,Source of Birth,img_XT_xingtu1
16,1,0,16,0,1,0,2:17:1000,0,20,0,Source of Birth,img_XT_xingtu1
17,1,0,17,16,1,0,2:17:1250,0,25,0,Source of Birth,img_XT_xingtu1
18,1,0,18,17,1,0,2:3:1500,0,30,0,Source of Birth,img_XT_xingtu1
19,1,0,19,6,2,0,3:1:50,0,10,10,Source of Birth,img_XT_xingtu1
20,1,0,20,3,2,0,3:2:50,0,10,10,Source of Birth,img_XT_xingtu1
21,1,0,21,9,2,0,2:47:20,0,10,10,Source of Birth,img_XT_xingtu1
22,1,0,22,12,2,0,2:43:50,0,10,10,Source of Birth,img_XT_xingtu1
23,1,0,23,15,2,0,2:38:50,1,10,10,Source of Birth,img_XT_xingtu1
24,1,0,24,18,2,0,2:39:50,1,10,10,Source of Birth,img_XT_xingtu1
25,2,1,1,0,1,0,2:17:1500,0,30,0,Source of Starlight,img_XT_xingtu2
26,2,1,2,1,1,0,2:17:2000,0,40,0,Source of Starlight,img_XT_xingtu2
27,2,1,3,2,1,0,2:17:2500,0,50,0,Source of Starlight,img_XT_xingtu2
28,2,1,4,0,1,0,2:5:1500,0,30,0,Source of Starlight,img_XT_xingtu2
29,2,1,5,4,1,0,2:5:2000,0,40,0,Source of Starlight,img_XT_xingtu2
30,2,1,6,5,1,0,2:5:2500,0,50,0,Source of Starlight,img_XT_xingtu2
31,2,1,7,0,1,0,2:6:1500,0,30,0,Source of Starlight,img_XT_xingtu2
32,2,1,8,7,1,0,2:6:2000,0,40,0,Source of Starlight,img_XT_xingtu2
33,2,1,9,8,1,0,2:6:2500,0,50,0,Source of Starlight,img_XT_xingtu2
34,2,1,10,0,1,0,2:7:1500,0,30,0,Source of Starlight,img_XT_xingtu2
35,2,1,11,10,1,0,2:7:2000,0,40,0,Source of Starlight,img_XT_xingtu2
36,2,1,12,11,1,0,2:7:2500,0,50,0,Source of Starlight,img_XT_xingtu2
37,2,1,13,0,1,0,2:1:30000,0,30,0,Source of Starlight,img_XT_xingtu2
38,2,1,14,13,1,0,2:1:40000,0,40,0,Source of Starlight,img_XT_xingtu2
39,2,1,15,14,1,0,2:1:50000,0,50,0,Source of Starlight,img_XT_xingtu2
40,2,1,16,0,1,0,2:3:1500,0,30,0,Source of Starlight,img_XT_xingtu2
41,2,1,17,16,1,0,2:3:2000,0,40,0,Source of Starlight,img_XT_xingtu2
42,2,1,18,17,1,0,2:3:2500,0,50,0,Source of Starlight,img_XT_xingtu2
43,2,1,19,3,2,0,3:1:50,0,15,20,Source of Starlight,img_XT_xingtu2
44,2,1,20,6,2,0,3:2:50,0,15,20,Source of Starlight,img_XT_xingtu2
45,2,1,21,9,2,0,3:13:50,0,15,20,Source of Starlight,img_XT_xingtu2
46,2,1,22,12,2,0,3:14:50,0,15,20,Source of Starlight,img_XT_xingtu2
47,2,1,23,15,2,0,2:36:50,1,15,20,Source of Starlight,img_XT_xingtu2
48,2,1,24,18,2,0,2:37:50,1,15,20,Source of Starlight,img_XT_xingtu2
49,3,2,1,0,1,0,2:17:2000,0,40,0,Source of the Abyss,img_XT_xingtu3
50,3,2,2,1,1,0,2:5:2000,0,40,0,Source of the Abyss,img_XT_xingtu3
51,3,2,3,2,1,0,2:17:2500,0,50,0,Source of the Abyss,img_XT_xingtu3
52,3,2,4,3,1,0,2:17:3000,0,60,0,Source of the Abyss,img_XT_xingtu3
53,3,2,5,2,1,0,2:5:2500,0,50,0,Source of the Abyss,img_XT_xingtu3
54,3,2,6,5,1,0,2:5:3000,0,60,0,Source of the Abyss,img_XT_xingtu3
55,3,2,7,0,1,0,2:6:2000,0,40,0,Source of the Abyss,img_XT_xingtu3
56,3,2,8,7,1,0,2:7:2000,0,40,0,Source of the Abyss,img_XT_xingtu3
57,3,2,9,8,1,0,2:6:2500,0,50,0,Source of the Abyss,img_XT_xingtu3
58,3,2,10,9,1,0,2:6:3000,0,60,0,Source of the Abyss,img_XT_xingtu3
59,3,2,11,8,1,0,2:7:2500,0,50,0,Source of the Abyss,img_XT_xingtu3
60,3,2,12,11,1,0,2:7:3000,0,60,0,Source of the Abyss,img_XT_xingtu3
61,3,2,13,0,1,0,2:1:40000,0,40,0,Source of the Abyss,img_XT_xingtu3
62,3,2,14,13,1,0,2:1:50000,0,50,0,Source of the Abyss,img_XT_xingtu3
63,3,2,15,14,1,0,2:1:60000,0,60,0,Source of the Abyss,img_XT_xingtu3
64,3,2,16,0,1,0,2:3:2000,0,40,0,Source of the Abyss,img_XT_xingtu3
65,3,2,17,16,1,0,2:3:2500,0,50,0,Source of the Abyss,img_XT_xingtu3
66,3,2,18,17,1,0,2:3:3000,0,60,0,Source of the Abyss,img_XT_xingtu3
67,3,2,19,4,2,0,3:1:50,0,20,30,Source of the Abyss,img_XT_xingtu3
68,3,2,20,6,2,0,3:2:50,0,20,30,Source of the Abyss,img_XT_xingtu3
69,3,2,21,10,2,0,3:7:50,0,20,30,Source of the Abyss,img_XT_xingtu3
70,3,2,22,12,2,0,3:5:50,0,20,30,Source of the Abyss,img_XT_xingtu3
71,3,2,23,15,2,0,3:8:50,1,20,30,Source of the Abyss,img_XT_xingtu3
72,3,2,24,18,2,0,3:23:50,1,20,30,Source of the Abyss,img_XT_xingtu3
73,4,3,1,0,1,0,2:17:2500,0,50,0,Source of Nullity,img_XT_xingtu4
74,4,3,2,1,1,0,2:17:3000,0,60,0,Source of Nullity,img_XT_xingtu4
75,4,3,3,2,1,0,2:17:3500,0,70,0,Source of Nullity,img_XT_xingtu4
76,4,3,4,0,1,0,2:5:2500,0,50,0,Source of Nullity,img_XT_xingtu4
77,4,3,5,4,1,0,2:5:3000,0,60,0,Source of Nullity,img_XT_xingtu4
78,4,3,6,5,1,0,2:5:3500,0,70,0,Source of Nullity,img_XT_xingtu4
79,4,3,7,0,1,0,2:6:2500,0,50,0,Source of Nullity,img_XT_xingtu4
80,4,3,8,7,1,0,2:7:2500,0,50,0,Source of Nullity,img_XT_xingtu4
81,4,3,9,8,1,0,2:6:3000,0,60,0,Source of Nullity,img_XT_xingtu4
82,4,3,10,9,1,0,2:6:3500,0,70,0,Source of Nullity,img_XT_xingtu4
83,4,3,11,8,1,0,2:7:3000,0,60,0,Source of Nullity,img_XT_xingtu4
84,4,3,12,11,1,0,2:7:3500,0,70,0,Source of Nullity,img_XT_xingtu4
85,4,3,13,0,1,0,2:1:50000,0,50,0,Source of Nullity,img_XT_xingtu4
86,4,3,14,13,1,0,2:3:2500,0,50,0,Source of Nullity,img_XT_xingtu4
87,4,3,15,14,1,0,2:1:60000,0,60,0,Source of Nullity,img_XT_xingtu4
88,4,3,16,15,1,0,2:1:70000,0,70,0,Source of Nullity,img_XT_xingtu4
