npc_id,stage,hero_cid,name,avatar_path,spine_name,role,quality,star,job,level,skill_id_list,fight_value,max_hp,min_attack,max_attack,defend,defend_ignore_level,physc_def,magic_def,hit,dehit,crit,decrit,damage_add,damage_minus,crit_damage_add,drain_hp,defend_ignore,physc_def_ignore,magic_def_ignore,debuff_resist,hp_recover,bounce_rate,speed
200001,1,2039,Supreme Power-Hera,2039_UR.png,HL_UR,31,8,5,3,400,123801001|123802001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,10,0
200002,2,2039,Supreme Queen-Hera,2039_UR_PLUS.png,HL_UR_PLUS,31,9,5,3,400,123801001|123802001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,10,0
200003,3,2039,Sacred Roses-Hera,2039_MR.png,HL_MR,31,15,5,3,400,123801001|123802001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,0,900,0,0,999999,999999,999999,500,0,10,0
200004,4,2039,Creation Radiance - Hera,2039_CSHS.png,HL_CSHS,31,101,5,3,400,123801001|123802001,999999999,500000000,10000000,12000000,99999,99999,99999,99999,9999999,99999,99999,99999,0,900,0,0,999999,999999,999999,500,0,10,0
200005,1,2047,Rose Garden,2047_UR.jpg,QBT_UR,31,8,5,2,400,124601001|124602001|154601001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,15,0
200006,2,2047,Bathing Manner-Cupid,2047_UR_PLUS.jpg,QBT_UR_PLUS,31,9,5,2,400,124601001|124602001|154601001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,15,0
200007,3,2047,Naughty Moment - Cupid,2047_MR.jpg,QBT_MR,31,15,5,2,400,124601001|124602001|154601001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,0,900,0,0,999999,999999,999999,500,0,15,0
200008,4,2047,Creator's Incarnation-Cupid,2047_CSHS.jpg,QBT_CSHS,31,101,5,2,400,124601001|124602001|154601001,999999999,500000000,10000000,12000000,99999,99999,99999,99999,9999999,99999,99999,99999,0,900,0,0,999999,999999,999999,500,0,15,0
200009,1,2037,Sun God,2037_UR.jpg,R_UR,31,8,5,3,400,123601001|123602001|153601001|163651001,999999999,50000000,100000,150000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,15,0
200010,2,2037,Blazing Triumph-Ra,2037_UR_PLUS.jpg,R_UR_PLUS,31,9,5,3,400,123601001|123602001|153601001|163651001,999999999,100000000,500000,1500000,999,999,999,999,9999999,999,999,999,0,900,0,0,999999,999999,999999,500,0,15,0
200011,3,2037,Nightfall Passion - Ra,2037_MR.jpg,R_MR,31,15,5,3,400,123601001|123602001|153601001|163651001,999999999,200000000,4000000,5000000,9999,9999,9999,9999,9999999,9999,9999,9999,0,900,0,0,999999,999999,999999,500,0,15,0
200012,4,2037,Dawn Light - Ra,2037_CSHS.jpg,R_CSHS,31,101,5,3,400,123601001|123602001|153601001|163651001,999999999,500000000,10000000,12000000,99999,99999,99999,99999,9999999,99999,99999,99999,0,900,0,0,999999,999999,999999,500,0,15,0
